,Comment
0,"['bpjs', 'narik', 'rakyat', 'subsidi', 'perintah', 'waktu', 'sby', 'bpjs']"
1,"['fakta', 'lapang', 'masarakat', 'bayar', 'bpjs', 'rumah', 'sakit']"
2,"['politisir', 'pikir', 'logika']"
3,"['ponakan', 'minggu', 'kemaren', 'demam', 'sakit', 'bad', 'bawa', 'igd', 'nunjukin', 'kartu', 'bpjs', 'dijelasin', 'kalo', 'dokter', 'ga', 'kriteria', 'gawat', 'darurat', 'ga', 'jamin', 'bpjs', 'oke', 'gpp', 'dbd', 'suruh', 'rawat', 'inap', 'ga', 'uang', 'lg', 'rs', 'alhamdulillah', 'skrg', 'ponakan', 'udh', 'sembuh']"
4,"['bpjs', 'is', 'rilly', 'good']"
5,[]
6,"['kelola', 'aja', 'solusi', 'iur', 'naik', 'cerdasssssssss']"
7,"['gotonng', 'oyong', 'indonesia', 'sehat', 'ud', 'yg', 'bnyk', 'yg', 'tolong', 'bpjs', 'sehat']"
8,"['asuransi', 'coba', 'yg', 'kayak', 'bpjs', 'indonesia', 'ngak', 'peduli', 'umur', 'riwayat', 'sakit', 'bayar', 'premi', 'terima', 'premi', 'jg', 'jangkau', 'banding', 'asuransi', 'mgkn', 'krn', 'asuransi', 'soasial', 'yaa', 'jdi', 'konsep', 'gotong', 'royong', 'terima', 'kasih', 'bpjs', 'sehat', 'bantu', 'sy', 'keluarga']"
9,[]
10,"['yg', 'kemaren', 'teriak', 'teriak', 'bpjs', 'sehat', 'gue', 'kasih', 'kritik', 'bpjs', 'yah', 'gw', 'dukung', 'perintah', 'persen', 'bpjs', 'sosialisasi', 'dadak', 'memberitahukan', 'naik', 'for', 'testimoni', 'aja', 'lupus', 'sle', 'uang', 'maklum', 'waktu', 'presiden', 'gala', 'bpjs', 'abang', 'bpjs', 'tercover', 'bertahuntahun', 'bpjs', 'gak', 'habis', 'pikir', 'yg', 'rongrong', 'perintah', 'dengar', 'jelas', 'bpjs', 'yg', 'debat', 'kemarin', 'bpjs', 'biar', 'sya', 'kasih', 'link', 'ketawain', 'muka', 'wkwkwk', 'logika', 'mas', 'bersocial', 'media']"
11,"['pam', 'pdam', 'buka', 'kran', 'gak']"
12,"['hasil', 'rp', 'jt', 'bayar', 'bpjs', 'ribu', 'bulan', 'kelas', 'hasil', 'juta', 'bayar', 'ribu', 'kelas', 'bulan', 'kalo', 'diprosentase', 'pengjasilan', 'juta', 'bulan', 'kelas', 'itrus', 'nikamat', 'yg', 'kau', 'kalo', 'ambil', 'jatah', 'hasil', 'kecilsemoga', 'rakyatt', 'hasil', 'sehat', 'sedekah', 'hasil', 'besarsemoga', 'allah', 'lindung', 'terzolimi']"
13,"['pindah', 'kota', 'bangun', 'tol', 'henti', 'uang', 'rakyat']"
14,"['agama', 'utama', 'uang', 'digunakantapi', 'terprnting', 'darimana', 'uang', 'dapatkantolonglah', 'aqidah']"
15,"['tetep', 'tuju', 'aja', 'bpjscmn', 'tolong', 'dana', 'ambil', 'prosentae', 'hasil']"
16,"['bravo', 'bpjs', 'kesehatanepan', 'keluarga', 'terima', 'kasih', 'hadir', 'bpjs', 'sehat', 'bantu', 'kesehatansemoga', 'depan', 'bpjs', 'sehat', 'jaya', 'lagigotong', 'royong', 'tolong', 'menolongyang', 'sehat', 'bantu', 'sakityang', 'bantu']"
17,"['naik', 'iur', 'renta', 'ndak', 'kelola', 'bbjs', 'cobak', 'muncul', 'kartuitu']"
18,"['ruwet', 'ruwet', 'ruwet']"
19,"['alhamdulillah', 'program', 'jkn', 'kis', 'masyarakat', 'bantu', 'program', 'naik', 'laksana', 'program', 'jkn', 'kis', 'program', 'sustainable', 'perintah', 'andil', 'program', 'jkn', 'kis', 'segmen', 'pbi', 'mandiri', 'kelas', 'masyarakat', 'obat', 'beban', 'iur']"
20,"['gotong', 'royong', 'tolong', 'barokallahu', 'fiikum']"
21,"['bayar', 'yg', 'ga', 'udh', 'tanggung', 'perintah', 'ga', 'itungan', 'dehh', 'anggap', 'sedekah', 'jalan', 'hidup', 'gimana', 'moga', 'sehat', 'hindar', 'musibah', 'mengunakan', 'fasilitas', 'bpjskes', 'aamiiin']"
22,"['gotong', 'royong', 'tertolongbpjs', 'sehat', 'sustain', 'bantu', 'masyarakat', 'yg', 'butuh', 'layan', 'sehat']"
23,"['pasti', 'perintah', 'pikir', 'baik', 'rakyat', 'nggak', 'memnjerumuskan', 'paham', 'moga', 'bijaksana', 'tanggap', 'sy', 'rasa', 'manfaat', 'bpjs']"
24,"['sakit', 'sehat', 'hadiah', 'tuhan', 'reward', 'utk', 'pelihara', 'sehat', 'masyarakat', 'indonesia', 'mari', 'bantu', 'utk', 'sehat', 'iur', 'yg', 'bayar', 'rs', 'milik', 'jamin', 'sehat', 'jaga', 'program', 'sustain', 'indonesia', 'yg', 'sehat']"
25,"['yg', 'sehat', 'bantu', 'yg', 'sakit', 'gotong', 'royong', 'tolong', 'moga', 'sehat']"
