,Comment,english_translate,polarity,Label
0,vaksin tidak berguna,vaccines are useless,-0.5,0
8,efek samping otot kejang demam tinggi batuk keras,side effects of muscle spasms high fever hard cough,-0.06583333333333334,0
23,wow buang duwit aja semoga dasaku di ampuni aamiin,"wow, just waste it duwit, hopefully my base will be forgiven",-0.3,0
33,presiden ga sadar covid ga pernah diteliti percobaan akan terjsdi pembunuhan masal ga jelas tuk apa covid jangan mau disuntik,"The president was not aware that Covid had never been researched An experiment would occur mass murder it was not clear what Covid was for, don't want to be injected",-0.08750000000000001,0
37,ada penelitian tentang ade jadi tidak berguna tuh vaksin,There is research on Ade so vaccines are useless,-0.5,0
47,teruslah menakut nakuti walau tidak berguna,keep on scaring even if it's useless,-0.5,0
49,yang di uji coba malah para relawan para ketua jabatan pada gak mau takut apa gimana,What is being tested is that the volunteer chairmen of the positions don't want to be afraid of what,-0.6,0
51,ikuti jalan pikiran plonga plongo sampai mati bingung dan tersesat,follow the path of thought Plonga Plongo until you die confused and lost,-0.4,0
53,sudah si stop pembodohan covid indonesia sudah dibutakan dengan covid jangan rakyat dijadikan kambing percobaan stiap berita isinya covid coba yang korupsi itu merdeka koprol hilang dari berita hadeh cape denger nya pdahal covid itu hoaks,"Have you stopped fooling covid, Indonesia has been blinded by Covid, don't make the people goats for trials. Every news that contains Covid, try corruption is independent, disappear from the news, tired of hearing it even though Covid is a hoax",-0.2,0
54,kalian dulu para pejabat yang harus di suntik vaksin ya baru kami rakyat biasa selanjut nya,"You were the officials who had to be injected with vaccines, so then we are the common people",-0.3,0
55,stupid,stupid,-0.7999999999999999,0
56,kok lama bangetttttttt,how come it's taking so long,-0.05,0
62,tidak pakek vaksin saja banyak yang sembuh terlalu berbelit dalam ngurus mslah apa kontrak bisnis nya masih panjng kok hars smpk,"Don't just use vaccines, many people recover are too complicated in taking care of it, what's the deal with the long business contract?",-0.016666666666666666,0
64,atuuh takut di suntik,or afraid of being injected,-0.6,0
68,tukang pendongeng bisa saja ngomong seperti itu tapi gak ada sesuai dari kenyataannya,storytellers may speak like that but it is not true of reality,-0.175,0
74,tidak banget,not really,-0.1,0
80,terserah lo ajalah jok males sudah dnger omongan lo,"it's up to you, lazy seats have heard what you said",-0.25,0
81,jokowi dan para menteri dulu yang mencoba vaksinnya,Jokowi and the previous ministers who tried the vaccine,-0.16666666666666666,0
84,saya menolak vaksin memprogram ketahanan imun kita besok akan ada efek penyakit baru cukup di vaksin yang sakit saja,I refuse the vaccine program our immune resistance. Tomorrow there will be a new disease effect in the sick vaccine alone,-0.288961038961039,0
92,lama kita semua kaya ayam harus di suntik vaksin sori ya saya mah gak mau itu kan yang di suntikan virus serem lah,"It's been a long time since we were all like chickens, we had to be injected with vaccines, sorry, I don't want the vaccine injection, right?",-0.08809523809523812,0
98,gamau nanti umur an sudah pada mati suntik sd smp sma aja kagak guamah awkwkwkwk perpendekan umur,"gamau later, when the age is dead, the injection has died at the same time as junior high school, I don't know, awkwkwkwk shortening age",-0.010000000000000002,0
99,au ah sudah males vaksin vaksin,I'm lazy about vaccines,-0.25,0
103,perang adalah bisnis bencana adalah bisnis di mana ada orang ke susahan di sana ada peluang setuju gak,war is business disaster is a business where there are people going to trouble there is a chance agree or not,-0.2,0
104,vaksin ini kalo sudah beredar isinya akan di ganti racun yang mematikan stelah aktif bulan jadi nggak langsung mati awaaas para tokoh islam antum satu persatu akan di habisi pembunuhan ini tidak ada bukti hukum mereka cuci tangaan pakai sabuun abis perkara,"If this vaccine has been circulating, the contents will be replaced by a deadly poison after being active in the month so it doesn't immediately die, awaaas Islamic figures, one by one, will be eliminated this murder, there is no legal evidence that they wash their hands using methamphetamine after a case",-0.14444444444444446,0
113,jelek banget,really ugly,-0.7,0
122,saya kagak mau takut nyawa saya dikurangin sama si vaksin mending dikerokin aja dah,"I don't want to be afraid that my life will be reduced by the vaccine, it's better to just scrap it",-0.04999999999999999,0
129,dari awal adanya virus ini cina ga jujur kepada who cina bilang virus ini tidak berbahaya hanya menular dari binatang ke manusia tidak menular dari manusia ke manusia lalu memanipulasi korban virus ini seakan akan sedik yang terpapar sekarang cina membuat vaksin di jual ke beberapa negara termaksud indonesia banyak sekali kejanggalan semoga vaksin ini tidak ada udang dibalik bakwan,"Since the beginning of this virus, China is not honest to who, China says this virus is not dangerous, it is only transmitted from animals to humans, it is not transmitted from human to human then manipulates the victims of this virus as if a little is exposed now China makes vaccines sold to several countries, including Indonesia. What an oddity, I hope there are no shrimp behind the bakwan",-0.0734375,0
134,kenapa sampai januari lama bangggett apakah ini benar permainan konspirasi who,Why did it take so long to January whether this was really a conspiracy game who,-0.08333333333333333,0
137,yang takut suntik jadi bingung,those who are afraid of injections are confused,-0.5,0
140,sayang tidak butuh vaksin dan saya hanya percaya kepada tuhan yang maha esa yaitu allah swt,"Unfortunately I don't need vaccines and I only believe in one God, namely Allah SWT",-0.25,0
144,januari yaelah keburu sepi nih penghuni tewas,"January, yeah, the occupants are dead",-0.2,0
145,lama kali keluarnya,long time out,-0.05,0
148,ribet kali drama skala global ini,complicated times this global scale drama,-0.25,0
155,entah kenapa saya curiga ini adalah sebenarnya vaksin untuk pilek biasa apa iya vaksin bisa secepat itu ditemukan,"somehow I suspect this is actually a vaccine for the common cold. Yes, a vaccine can be found as soon as that",-0.3,0
157,maksudnya siap di apain tuh vaksin di jual ke rakyat duh maaf saya sebagai rakyat kagak mau karena gak ada untuk bayarnyaa pak jokowi maaf ya paak dan yang lebih epektif makzulkan dan bubarkan,"What do you mean, ready to sell the vaccines to the people, sorry, as a people, I don't want to because I don't have to pay for it, Pak Jokowi, I'm sorry, sir and the more epic one is imprisoned and disbanded",-0.08541666666666668,0
162,klu gagal vaksinnya jokowi siap mundur kah,"If the vaccine fails, Jokowi is ready to resign",-0.15,0
163,sebenar nya ini cuma permainan nya china kalo ngga salah di korea sudah ada yang di vaksin terus merekut nyawa meninggal karna vaksin covid,"In fact, this is just a game in China, if I'm not mistaken in Korea, someone has been vaccinated and continues to take lives because of the covid vaccine",-0.4,0
169,seperti ayam dikasi vaksin,like vaccinated chicken,-0.6,0
183,ah paling juga kalo sudah siap vaksinnya rakyatnya harus beli juga pak,"ah at least when the vaccine is ready, the people have to buy it too, sir",-0.04999999999999999,0
185,nanti tinggal beli vaksinnya dan hrganya mahil sudah ketebak,later just buy the vaccine and the price is expensive already guessed,-0.25,0
192,lumpuh separo setelah minggu suntik ini pengakuan mbaknya yang trauma uji vaksin asal sinovac dihentikan karena ada peristiwa merugikan dan serius,"Half paralyzed after this week of injection, the admission of her traumatized that the vaccine test from Sinovac was stopped due to serious and adverse events",-0.20833333333333334,0
196,jahat bet goblok,evil bet stupid,-0.8999999999999999,0
198,efek sampingnya menjadi gila lalu yang gila itu saling menggigit yang tergigit bisa tertular dan ikutan gila,the side effect becomes crazy and then the crazy one that bites can be infected and follow crazy,-0.6,0
